기간	지역	흡연	흡연	음주	음주	신체활동	신체활동	비만율	정신건강	정신건강	양호한 주관적 건강수준 인지율
2019	강동구	18.5	44.6	56.7	19.1	52.8	25.9	31.3	21.6	6.7	48.5
2020	서울시	15.5	49.1	53	13.2	53.2	18.3	28.2	27.8	6.3	57.3
2020	종로구	13.9	43.9	52.1	9.9	46.9	16.9	28.1	26.9	5	65.4
2020	중구	15.7	29.2	39.2	10.6	46.2	16.3	25.6	28	3.3	64.1
2020	용산구	17.6	24.4	44.4	20.8	62.5	17.9	25.4	21.8	2.4	68.2
2020	성동구	18.4	52.5	58.8	16.9	54.8	17.8	28.6	30.2	4.9	63.1
2020	광진구	14.6	46.5	52	14.4	52.8	30.8	24.6	28.6	8	58.8
2020	동대문구	16.2	46.6	50.4	14.4	54.9	12.2	30.8	24.5	4.5	55.7
2020	중랑구	18.6	55.1	56.5	16.3	56.5	19.9	31.4	32.9	7.7	51.4
2020	성북구	17.6	41.3	53.8	15.8	53.5	21.7	27.5	31.7	8.5	51.7
2020	강북구	17.8	42.5	50.1	18.1	50.7	13.4	30.3	32.4	6.7	55.6
2020	도봉구	18.6	48.6	51.9	14.1	52.3	17.4	33.5	26.1	5.5	51.9
2020	노원구	12.6	46.3	52.4	10.1	68.4	16.4	30.9	22.5	4.9	60.1
2020	은평구	16.4	57.9	48.5	11.1	63	15.2	27.9	30.1	7.6	51.2
2020	서대문구	15.2	53.9	49.3	10.4	59.8	15.3	26.5	20.2	3.9	61.2
2020	마포구	16.3	46.2	59.2	14.1	47.7	16.8	27.2	28.4	6	65.1
2020	양천구	14.2	53.9	57.2	9.8	53.2	20.8	28.6	28.2	6	59.8
2020	강서구	17.2	52.9	51.9	12.2	46.1	17.8	29.9	29.9	7.1	55
2020	구로구	15.3	47.4	51.3	14.8	44.8	14.1	29	25.8	6.1	52.3
2020	금천구	19.1	47.7	52.3	13.8	56.4	17.1	29.9	29.9	7.7	50.4
2020	영등포구	13.8	51.5	58	13.7	57.7	18.7	27.7	29.9	5.4	47.3
2020	동작구	13.6	53	52.7	16	49.2	17.6	29.1	25.1	5.5	58.6
2020	관악구	15.7	49.1	51	13.4	52.3	14.1	26.6	30.7	4.8	59.3
2020	서초구	11.6	37	52.7	10.5	49.5	26.5	24	27.5	6.6	66.4
2020	강남구	15.1	55.8	54.4	13.8	44.6	18.8	24.8	30.1	9.2	59.2
2020	송파구	13	56.3	57.3	10.8	56.6	20.4	26.5	24.5	7.6	58.3
2020	강동구	14.2	50.1	52.1	10	45.5	19.9	31.3	26.3	5.8	53.7
